epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,594.969,1.39314,4.9179,1.15497,0.6785,0.6495,0.68187,0.41104,1.43315,4.82553,1.13993,0.000727023,0.000727023,0.000727023
107,598.497,1.384,4.76279,1.15054,0.67636,0.6303,0.66083,0.39811,1.41443,4.83108,1.12357,0.000722345,0.000722345,0.000722345
108,602.213,1.40238,4.90036,1.1605,0.67077,0.66567,0.6849,0.42589,1.30773,4.66831,1.0811,0.000717644,0.000717644,0.000717644
109,605.891,1.42581,4.90119,1.16166,0.68255,0.68447,0.69707,0.44718,1.26797,4.4407,1.0652,0.000712918,0.000712918,0.000712918
110,609.502,1.39579,4.7685,1.1516,0.67356,0.67979,0.6954,0.45079,1.23273,4.47184,1.05431,0.00070817,0.00070817,0.00070817
111,613.36,1.4197,4.87813,1.15371,0.66936,0.66863,0.6916,0.44944,1.18554,4.69396,1.03415,0.000703398,0.000703398,0.000703398
112,617.078,1.37425,4.76808,1.12655,0.65786,0.65297,0.65802,0.42819,1.19985,4.77211,1.04687,0.000698604,0.000698604,0.000698604
113,620.698,1.40584,4.83137,1.17151,0.69035,0.65358,0.68641,0.43788,1.25753,4.63864,1.05469,0.000693788,0.000693788,0.000693788
114,624.695,1.42397,4.84152,1.15169,0.67673,0.67625,0.69829,0.45434,1.1816,4.51917,1.04154,0.000688952,0.000688952,0.000688952
115,628.381,1.4058,4.99507,1.16671,0.71616,0.66458,0.703,0.44526,1.28838,4.64532,1.06801,0.000684094,0.000684094,0.000684094
116,632.174,1.41035,4.87235,1.14749,0.66727,0.65145,0.67049,0.436,1.22898,4.89989,1.06077,0.000679216,0.000679216,0.000679216
117,635.812,1.37627,4.71159,1.14442,0.68445,0.63924,0.67451,0.44127,1.2162,4.78028,1.05265,0.000674319,0.000674319,0.000674319
118,639.535,1.37437,4.67554,1.15273,0.68882,0.66903,0.69509,0.44773,1.21547,4.52783,1.05893,0.000669402,0.000669402,0.000669402
119,643.246,1.3654,4.74156,1.14495,0.68471,0.66943,0.69245,0.4444,1.23677,4.66399,1.04691,0.000664467,0.000664467,0.000664467
120,646.886,1.37016,4.62939,1.1569,0.67828,0.65399,0.67893,0.44049,1.22836,4.71621,1.0569,0.000659514,0.000659514,0.000659514
121,650.496,1.37591,4.6783,1.15428,0.68316,0.65817,0.68454,0.44104,1.2647,4.81136,1.07126,0.000654543,0.000654543,0.000654543
122,654.15,1.41017,4.82479,1.15351,0.68533,0.63751,0.67472,0.4314,1.27399,4.88873,1.07315,0.000649555,0.000649555,0.000649555
123,657.935,1.36961,4.78845,1.14748,0.66506,0.67496,0.68794,0.43834,1.22712,4.60754,1.05515,0.000644551,0.000644551,0.000644551
124,661.98,1.39381,4.67718,1.1396,0.69244,0.66435,0.69883,0.44744,1.23808,4.86791,1.06122,0.000639532,0.000639532,0.000639532
125,666.171,1.39053,4.68294,1.13644,0.70004,0.66656,0.69807,0.45087,1.26291,4.60568,1.067,0.000634496,0.000634496,0.000634496
126,669.893,1.36258,4.47024,1.13576,0.68392,0.66706,0.69958,0.4555,1.21676,4.57971,1.05984,0.000629447,0.000629447,0.000629447
127,673.674,1.41456,4.79065,1.14311,0.70212,0.65299,0.69628,0.43924,1.25153,4.81656,1.06947,0.000624383,0.000624383,0.000624383
128,677.478,1.34186,4.58184,1.12695,0.69094,0.66742,0.6999,0.44597,1.20355,4.64932,1.0575,0.000619305,0.000619305,0.000619305
129,681.686,1.37767,4.63507,1.14407,0.69832,0.6652,0.69319,0.44424,1.2016,4.58508,1.04266,0.000614214,0.000614214,0.000614214
130,685.223,1.36471,4.61749,1.13725,0.67123,0.64876,0.67847,0.43647,1.23243,4.75832,1.05906,0.000609111,0.000609111,0.000609111
131,688.882,1.36031,4.63379,1.14722,0.67054,0.67443,0.68947,0.44596,1.24601,4.64305,1.05682,0.000603995,0.000603995,0.000603995
132,692.492,1.36045,4.78784,1.16201,0.68008,0.66196,0.68708,0.44566,1.20527,4.69257,1.05253,0.000598869,0.000598869,0.000598869
133,696.193,1.34982,4.69667,1.13832,0.68324,0.6506,0.68305,0.44842,1.19442,4.56755,1.04832,0.000593731,0.000593731,0.000593731
134,699.794,1.35829,4.5891,1.13354,0.68028,0.65718,0.68324,0.44986,1.20537,4.57813,1.04402,0.000588584,0.000588584,0.000588584
135,703.618,1.38022,4.6217,1.14262,0.68632,0.65732,0.6871,0.44901,1.20454,4.54888,1.04747,0.000583426,0.000583426,0.000583426
136,707.533,1.37823,4.69947,1.13423,0.71594,0.64653,0.68861,0.44864,1.18529,4.52468,1.04567,0.000578259,0.000578259,0.000578259
137,711.224,1.34193,4.48088,1.13288,0.66691,0.67066,0.68611,0.44939,1.20236,4.50501,1.05485,0.000573084,0.000573084,0.000573084
138,714.886,1.37519,4.55224,1.13777,0.68703,0.66547,0.68888,0.44021,1.22978,4.63003,1.0665,0.000567901,0.000567901,0.000567901
139,718.625,1.39993,4.67176,1.13853,0.68504,0.66583,0.68534,0.44449,1.20697,4.59163,1.05099,0.00056271,0.00056271,0.00056271
140,722.489,1.39058,4.63248,1.14021,0.6679,0.68224,0.68281,0.44325,1.19218,4.64387,1.04072,0.000557513,0.000557513,0.000557513
141,726.239,1.38278,4.6555,1.14402,0.71199,0.66531,0.70609,0.44841,1.24133,4.55963,1.05089,0.000552309,0.000552309,0.000552309
142,730.025,1.36969,4.60424,1.14292,0.70066,0.68293,0.70678,0.45092,1.2181,4.5049,1.04867,0.000547099,0.000547099,0.000547099
143,733.829,1.40025,4.58776,1.12692,0.69189,0.67593,0.69905,0.44873,1.20649,4.61309,1.04036,0.000541885,0.000541885,0.000541885
144,737.586,1.36896,4.60116,1.13068,0.69226,0.68037,0.69206,0.4453,1.21998,4.55255,1.0466,0.000536665,0.000536665,0.000536665
145,741.223,1.3647,4.57414,1.12201,0.67437,0.65353,0.69171,0.44283,1.25881,4.58073,1.06292,0.000531442,0.000531442,0.000531442
146,744.902,1.35336,4.46953,1.13009,0.68546,0.66788,0.70144,0.44532,1.26208,4.54384,1.06576,0.000526215,0.000526215,0.000526215
147,748.786,1.35202,4.53298,1.13265,0.67488,0.67977,0.6899,0.43787,1.29936,4.62406,1.07432,0.000520986,0.000520986,0.000520986
148,752.758,1.35191,4.37658,1.12924,0.69647,0.68833,0.7053,0.44821,1.28689,4.51993,1.07666,0.000515754,0.000515754,0.000515754
149,756.435,1.3628,4.41581,1.12804,0.68456,0.67907,0.69308,0.45169,1.20543,4.56113,1.05533,0.00051052,0.00051052,0.00051052
150,760.226,1.35963,4.47887,1.14099,0.70342,0.66828,0.70225,0.46023,1.21265,4.54039,1.04939,0.000505285,0.000505285,0.000505285
151,763.882,1.36,4.47138,1.12337,0.68817,0.67508,0.69919,0.45339,1.19365,4.47306,1.04739,0.00050005,0.00050005,0.00050005
152,767.524,1.37856,4.50246,1.13967,0.69937,0.67029,0.70201,0.46275,1.18296,4.50107,1.03766,0.000494815,0.000494815,0.000494815
153,771.181,1.34484,4.4499,1.13005,0.67714,0.67982,0.70713,0.46756,1.19953,4.38419,1.04739,0.00048958,0.00048958,0.00048958
154,774.814,1.38248,4.40721,1.13882,0.69646,0.67133,0.70496,0.4523,1.27707,4.54489,1.06507,0.000484346,0.000484346,0.000484346
155,778.446,1.37775,4.49295,1.13456,0.68509,0.68108,0.70387,0.46607,1.17693,4.52709,1.03906,0.000479114,0.000479114,0.000479114
