epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,392.891,1.56835,5.33254,1.18726,0.66624,0.66272,0.68731,0.34347,1.76864,5.33176,1.39511,8.72447e-05,8.72447e-05,8.72447e-05
95,396.303,1.5947,5.47336,1.20371,0.66735,0.66103,0.68867,0.3557,1.70609,5.25844,1.36405,8.69816e-05,8.69816e-05,8.69816e-05
96,399.811,1.59438,5.40825,1.18383,0.68102,0.64906,0.68645,0.3435,1.76659,5.3159,1.39697,8.67161e-05,8.67161e-05,8.67161e-05
97,403.3,1.57575,5.50424,1.20239,0.67676,0.64921,0.68281,0.34746,1.73617,5.29789,1.38132,8.64484e-05,8.64484e-05,8.64484e-05
98,406.693,1.56177,5.35814,1.18752,0.67681,0.65089,0.68605,0.35913,1.67793,5.21476,1.35068,8.61785e-05,8.61785e-05,8.61785e-05
99,410.155,1.57025,5.44692,1.19839,0.68107,0.64705,0.68517,0.33395,1.81068,5.35625,1.43114,8.59063e-05,8.59063e-05,8.59063e-05
100,413.648,1.56482,5.43849,1.20672,0.66393,0.65651,0.68166,0.35893,1.6745,5.25946,1.35216,8.56319e-05,8.56319e-05,8.56319e-05
101,417.129,1.5611,5.32194,1.17913,0.67049,0.66941,0.69086,0.35986,1.6849,5.21378,1.3552,8.53554e-05,8.53554e-05,8.53554e-05
102,420.848,1.54385,5.21915,1.17086,0.67459,0.66742,0.69173,0.36427,1.65805,5.14486,1.33887,8.50766e-05,8.50766e-05,8.50766e-05
103,424.656,1.55819,5.32684,1.17482,0.67145,0.65535,0.69087,0.37398,1.60604,5.09846,1.31077,8.47957e-05,8.47957e-05,8.47957e-05
104,428.516,1.54967,5.36633,1.18361,0.67209,0.65976,0.69067,0.35992,1.67943,5.17572,1.352,8.45126e-05,8.45126e-05,8.45126e-05
105,432.299,1.53837,5.2235,1.17711,0.67107,0.65979,0.69036,0.3801,1.57564,5.08436,1.29484,8.42274e-05,8.42274e-05,8.42274e-05
106,436.31,1.54251,5.36446,1.19194,0.67243,0.66619,0.69156,0.35537,1.70164,5.20553,1.36632,8.39401e-05,8.39401e-05,8.39401e-05
107,440.085,1.54675,5.35673,1.18782,0.66314,0.6609,0.68613,0.37593,1.59211,5.07302,1.30427,8.36506e-05,8.36506e-05,8.36506e-05
108,443.962,1.54412,5.34396,1.17328,0.66521,0.66301,0.68776,0.35431,1.70336,5.23853,1.37045,8.33592e-05,8.33592e-05,8.33592e-05
109,447.804,1.55987,5.4651,1.18384,0.67848,0.64811,0.68603,0.37708,1.58705,5.06871,1.30062,8.30656e-05,8.30656e-05,8.30656e-05
110,451.578,1.54435,5.32513,1.1883,0.67504,0.65651,0.69123,0.38754,1.52762,4.9933,1.26493,8.277e-05,8.277e-05,8.277e-05
111,455.42,1.55217,5.34222,1.17397,0.66779,0.67164,0.6933,0.39408,1.49727,4.95628,1.248,8.24724e-05,8.24724e-05,8.24724e-05
112,459.28,1.5545,5.28179,1.16752,0.67244,0.65945,0.69237,0.38886,1.53342,4.98313,1.26877,8.21728e-05,8.21728e-05,8.21728e-05
113,463.088,1.5536,5.35791,1.1826,0.68113,0.65146,0.69238,0.39162,1.5178,4.97271,1.26238,8.18712e-05,8.18712e-05,8.18712e-05
114,466.929,1.56334,5.42064,1.18655,0.68317,0.66142,0.69603,0.38239,1.5799,5.02546,1.29753,8.15677e-05,8.15677e-05,8.15677e-05
115,470.756,1.57106,5.46755,1.18981,0.67215,0.66608,0.69758,0.39637,1.49554,4.94114,1.24927,8.12622e-05,8.12622e-05,8.12622e-05
116,474.601,1.5509,5.2667,1.16575,0.66523,0.6755,0.69503,0.4028,1.45353,4.88116,1.22599,8.09547e-05,8.09547e-05,8.09547e-05
117,478.403,1.53044,5.36293,1.18939,0.68059,0.66187,0.69693,0.40352,1.4488,4.87295,1.2229,8.06454e-05,8.06454e-05,8.06454e-05
118,481.95,1.53525,5.30745,1.17689,0.67633,0.6669,0.69848,0.40437,1.45367,4.86238,1.22412,8.03341e-05,8.03341e-05,8.03341e-05
119,485.376,1.52358,5.1308,1.16644,0.66636,0.67264,0.69544,0.40716,1.43391,4.87251,1.2168,8.0021e-05,8.0021e-05,8.0021e-05
120,488.843,1.50509,5.15514,1.17401,0.67227,0.66797,0.69612,0.39396,1.50749,4.92815,1.2579,7.97061e-05,7.97061e-05,7.97061e-05
121,492.279,1.53389,5.26987,1.19544,0.67531,0.66358,0.6962,0.39869,1.48187,4.9174,1.24401,7.93893e-05,7.93893e-05,7.93893e-05
122,495.85,1.53171,5.32683,1.1778,0.67974,0.6562,0.69599,0.39674,1.49559,4.92003,1.25045,7.90707e-05,7.90707e-05,7.90707e-05
123,499.284,1.52213,5.21228,1.15516,0.67287,0.6601,0.69376,0.41014,1.41169,4.84201,1.20593,7.87503e-05,7.87503e-05,7.87503e-05
124,502.722,1.52921,5.24745,1.16712,0.68596,0.65495,0.69779,0.4036,1.4556,4.84887,1.22757,7.84281e-05,7.84281e-05,7.84281e-05
125,506.195,1.53604,5.23856,1.16486,0.68098,0.663,0.69738,0.40141,1.46958,4.88541,1.23428,7.81042e-05,7.81042e-05,7.81042e-05
126,509.71,1.53112,5.21148,1.15455,0.6733,0.66972,0.69864,0.40835,1.43913,4.83878,1.21843,7.77785e-05,7.77785e-05,7.77785e-05
